id	hotCode	name	category	defaultDose	unit	route	isInjectable	majorCategory	subCategory
cmtgz3hyq07qrhgynkb5mldjo	116256101	オメプラゾール錠20		1錠		内服	FALSE	消化性潰瘍治療薬	プロトンポンプ阻害薬(PPI)
cmtgz3hyq07qshgyn39thqy7j	116257801	アリセプトD錠3mg		1錠		内服	FALSE		
cmtgz3hyq07qthgynqmjobv1g	116258501	アリセプトD錠5mg		1錠		内服	FALSE		
cmtgz3hyq07quhgyngbqgnj2e	116259201	クラリチンレディタブ錠10mg		1錠		内服	FALSE		
cmtgz3hyq07qvhgynnwish937	116260801	クリアナール内用液8%		1mL		内服	FALSE		
cmtgz3hyq07qwhgyncla5yr1p	116261501	スペリア内用液8%		1mL		内服	FALSE		
cmtgz3hyq07qxhgyn35d9tvno	116264601	アプニション静注15mg		1管		注射・点滴	TRUE		
cmtgz3hyq07qyhgynircj1jn9	116265301	キシリトール注20%シリンジ		1筒		注射・点滴	TRUE		
cmtgz3hyq07qzhgynbk4rbwil	116266001	ネオビタカイン注シリンジ2mL		1筒		注射・点滴	TRUE		
cmtgz3hyq07r0hgynn5hjoag4	116267701	ネオビタカイン注シリンジ5mL		1筒		注射・点滴	TRUE		
cmtgz3hyq07r1hgynefuoutpp	116268401	ネオフィリン注点滴用バッグ250mg		1袋		注射・点滴	TRUE	気管支拡張薬	キサンチン系
cmtgz3hyq07r2hgynk2h6g9n3	116269101	ハーセプチン注射用60		1瓶(溶解液、希釈液付)		注射・点滴	TRUE		
cmtgz3hyq07r3hgyng3rdcfou	116271401	フェンタニル注射液0.25mg		1管		注射・点滴	TRUE	オピオイド鎮痛薬	
cmtgz3hyq07r4hgynpuqwin9p	116272101	イムノブラダー膀注用40mg		1瓶(溶解液付)		外用	FALSE		
cmtgz3hyq07r5hgyn16s557d0	116273802	ナボールテープ15mg		1枚		外用	FALSE		
cmtgz3hyq07r6hgynvfhdt3z6	116274501	ボルタレンテープ15mg		1枚		外用	FALSE		
cmtgz3hyq07r7hgynsi1ividf	116277601	炭酸水素Na静注1.26%バッグ		1袋		注射・点滴	TRUE		
cmtgz3hyq07r8hgyn0cqgy8sc	116280601	ヘパフラッシュ10単位/mLシリンジ5mL		1筒		注射・点滴	TRUE		
cmtgz3hyq07r9hgynxs5fvvtc	116281301	ヘパフラッシュ100単位/mLシリンジ5mL		1筒		注射・点滴	TRUE		
cmtgz3hyq07rahgyn9nxyg94t	116282001	ミッドペリックL135腹膜透析液 2.5L		1袋		注射・点滴	TRUE	輸液	腹膜透析液
cmtgz3hyq07rbhgynvcg6kc90	116284401	アスピリン錠100		1錠		内服	FALSE	抗血小板薬	
cmtgz3hyq07rchgyn9l76d7j2	116285101	アセトアミノフェン錠200mg(TYK)		1錠		内服	FALSE	解熱鎮痛薬	アセトアミノフェン
cmtgz3hyq07rdhgynd4yebi6g	116286801	アルフロシン錠1mg		1錠		内服	FALSE		
cmtgz3hyq07rehgyn5un37rn6	116287501	アルフロシン錠2mg		1錠		内服	FALSE		
cmtgz3hyq07rfhgynxbtvbwf6	116289901	イトラコナゾール錠50		1錠		内服	FALSE	抗真菌薬	
cmtgz3hyq07rghgynwmbcn3h0	116290501	イトラコナゾール錠100		1錠		内服	FALSE	抗真菌薬	
cmtgz3hyq07rhhgyn3of5jexp	116292901	イトラコナゾールカプセル50mg		1カプセル		内服	FALSE	抗真菌薬	
cmtgz3hyq07rihgynd1autt9d	116293601	シラザプリル錠1mg		1錠		内服	FALSE	降圧薬	ACE阻害薬
cmtgz3hyq07rjhgyn14s1rqbp	116294301	ウリンメット配合錠		1錠		内服	FALSE		
cmtgz3hyq07rkhgyn8gnlo2v7	116294302	クエンメット配合錠		1錠		内服	FALSE		
cmtgz3hyq07rlhgynm74mjsxl	116295001	ウリンメット配合散		1g		内服	FALSE		
cmtgz3hyq07rmhgynt9ggqxof	116295002	クエンメット配合散		1g		内服	FALSE		
cmtgz3hyq07rnhgyndyp6lc33	116296701	ウロアシス配合散		1g		内服	FALSE		
cmtgz3hyq07rohgynx6zn8a16	116299801	塩酸リルマザホン錠1		1錠		内服	FALSE		
cmtgz3hyq07rphgyn8rzx9v8q	116300101	塩酸リルマザホン錠2		1錠		内服	FALSE		
